rank,lead_type,job_title,company_name,company_type,region,country,verified_job_url,url_type,posting_date,workflow_pain_described,n8n_automation_solution,business_fit_score,pain_intensity_score,buy_likelihood_score,composite_score,priority,notes
1,Direct n8n Demand,n8n Email Triage Automation Developer,German Property Management Co,Property Management,Europe,Germany,https://n8ndevs.com/jobs/VRTUiEV4TNOPWXbuCfIgog,VERIFIED ACTIVE,2026-04,"Manually reads tenant inquiry emails in Outlook; manually evaluates applicant fit; manually schedules viewings or sends rejections","n8n: Outlook API → Claude AI evaluation → conditional scheduling or rejection email auto-send. Budget already allocated ($550)",10,9,10,9.7,HOT,"Direct n8n job posting — company is actively buying automation right now. Operations-only, no customer-facing component."
2,Direct n8n Demand,n8n + GoHighLevel AI Sales Agent,Growth Agency (Automotive Detailing),Marketing Agency,Australia/Pacific,Australia,https://n8ndevs.com/jobs/Z4pHixOxT6i7bcU8tV0WkA,VERIFIED ACTIVE,2026-04,"Manual lead response and qualification; manual CRM pipeline updates; no automated follow-up system","n8n: CRM trigger → AI lead scoring → automated qualification sequence + GoHighLevel pipeline update. Budget allocated ($1,000)",10,9,10,9.7,HOT,"Australia-based agency posting directly for n8n work. Already budgeted. Operations/back-office only — no customer-facing."
3,Direct n8n Demand,n8n Agency Automation Consultant,Marketing Agency,Marketing Agency,North America,USA,https://n8ndevs.com/jobs/3iPGypz4T7ODxGoG3yoiyA,VERIFIED ACTIVE,2026-04,"Manual ClickUp task updates; manual file management across Google Drive and Dropbox; manual AI tool outputs processed by hand","n8n: ClickUp webhook → auto file routing on Drive/Dropbox + AI processing pipeline + automated data sync. $20-60/hr ongoing",10,8,10,9.3,HOT,"Agency actively paying for n8n consulting. Document/ops workflow focus — ClickUp, Drive, Dropbox integration is core deliverable."
4,Direct n8n Demand,WhatsApp Chatbot + Sales Automation,Unnamed Small Business,Small Business,Not specified,Not specified,https://n8ndevs.com/jobs/l4Ea1azPQnafBa6O8BKEVA,VERIFIED ACTIVE,2026-04,"No automated customer response; WhatsApp inquiries handled manually; no CRM integration; manual follow-up","n8n: WhatsApp Business API webhook → Claude AI chatbot → Google Sheets CRM log + automated follow-up. 5-module project.",10,9,10,9.7,HOT,"Actively posting for WhatsApp chatbot on n8n. Self-hosted on Railway. Strong chatbot/automation fit — exactly the solution we deliver."
5,Direct n8n Demand,Supply Chain Intelligence Automation,Lumis Compute,Tech/Logistics Startup,Not specified,Not specified,https://n8ndevs.com/jobs/zzFaXLRESuC8CIDTzcfLRg,VERIFIED ACTIVE,2026-04,"Manual supplier data gathering; manual credibility scoring; manual outreach to leads; no automated pipeline","n8n + Make: web scraping nodes → OpenAI scoring → Instantly.ai email sequence trigger for qualified leads. $500 budget",10,9,10,9.7,HOT,"Company actively posting for n8n + Make automation. Supply chain operations automation — no customer-facing element."
6,Workflow Automation Role,Automation & Workflow Specialist (Odoo + Make.com),Talent Global LLC (Luxury Design Showroom),Retail/Design,Europe,Spain,https://www.linkedin.com/jobs/view/automation-workflow-specialist-odoo-at-talent-global-llc-4391695667,VERIFIED ACTIVE,2026-04,"Manual order management; manual inventory updates; manual CRM and client workflows; no system integrations","n8n/Make: Odoo webhook → eCommerce sync + CRM auto-update + inventory alert + Bill.com payment workflow. Full-time hire.",9,9,9,9.0,HOT,"Verified active LinkedIn listing. Company explicitly hiring to automate Odoo + Make workflows. n8n skills directly transferable."
7,Workflow Automation Role,KI & Automation Specialist (n8n/Make/Zapier),Multiple German B2B SMBs,Various Small Businesses,Europe,Germany,https://www.growthroles.com/jobs/freelancer-im-bereich-ki-automation-u-a-in-marketing-sales-e-commerce-it-b2b-prozesse-n8n-make-zapier-uipath-python-feeab491,VERIFIED ACTIVE,2026-04,"Manual marketing, sales, e-commerce, IT, and B2B processes across multiple small German firms","n8n: marketing workflow automation + sales pipeline automation + e-commerce order processing + B2B reporting. German market.",10,9,9,9.3,HOT,"GrowthRoles listing explicitly names n8n/Make/Zapier. Multiple German SMB clients — high volume of opportunities in one posting."
8,Operations/Document Role,Import & Export Coordinator,FreezPak Logistics,Cold Storage & Logistics (Family-Owned SMB),North America,USA,https://www.linkedin.com/jobs/view/import-export-coordinator-at-freezpak-logistics-4374774288,VERIFIED ACTIVE,2026-02,"Manually prepares bills of lading, invoices, packing lists, certificates of origin, customs declarations; manually tracks shipments; generates reports manually","n8n: shipment event trigger → auto-generate BL/invoice/customs docs + freight forwarder email + compliance checklist + weekly status report",9,9,8,8.7,HOT,"Verified active LinkedIn listing. Family-owned SMB in Fall River MA. Clear document generation workflow — all automatable."
9,Operations/Document Role,Logistics Operations Coordinator (FTZ),SLC TRADE,Small Logistics/Trading Company,North America,USA,https://www.linkedin.com/jobs/view/logistics-operations-coordinator-at-slc-trade-4377997488,VERIFIED,2026-02,"Manual FTZ customs documentation; manual inventory reconciliation (physical vs system); manual billing management; manual KPI report generation","n8n: FTZ shipment trigger → customs doc generator + inventory count form → reconciliation alert + billing workflow + automated KPI dashboard",9,9,8,8.7,HOT,"Verified LinkedIn listing (Doral FL). Small trading company. FTZ document automation + inventory reconciliation are high-value n8n use cases."
10,Operations/Document Role,Operations Coordinator (Import + Export),Starlux Logistics North America,Small Freight/Logistics Co,North America,USA,https://www.linkedin.com/jobs/view/operations-coordinator-operations-specialist-import-%2B-export-at-starlux-logistics-north-america-4346486762,SPECIFIC LINK (verify),2025-12,"Manual import/export document preparation; manual shipment coordination; manual customer/vendor communication","n8n: shipment form → auto shipping docs + email notifications + tracking integration + status updates to internal team",9,8,8,8.3,HIGH,"Specific LinkedIn URL (Katy TX). Small freight company — operations focus, minimal customer-facing. Document and coordination automation."
11,Operations/Document Role,Document Controller,EHIF,Construction/Engineering SMB,Middle East,UAE,https://www.bayt.com/en/uae/jobs/document-controller-74228248/,SPECIFIC LINK,2026-04,"Manual document filing; manual distribution of technical documents and contracts; manual version tracking; manual compliance record keeping","n8n: document upload trigger → auto categorization + distribution email + version log + compliance checklist + stakeholder notification",8,9,7,8.0,HIGH,"Bayt.com direct listing (Dubai UAE). Document controller role — pure operations/document handling. No customer-facing work."
12,Operations/Document Role,Document Controller,Horizonhr Consultancy (Client Company),HR/Consulting SMB,Middle East,UAE,https://www.bayt.com/en/uae/jobs/document-controller-74202823/,SPECIFIC LINK,2026-04,"Manual document intake, registration, distribution; manual version control; manual document retrieval and archiving","n8n: email/upload trigger → document registration workflow + auto distribution + version control log + archive indexing",8,9,7,8.0,HIGH,"Bayt.com direct listing (UAE). HR consultancy placing document controllers — indicates multiple UAE SMB clients with doc management pain."
13,Operations/Document Role,Document Controller,CEEIC,Engineering/Construction,Middle East,Saudi Arabia,https://www.bayt.com/en/saudi-arabia/jobs/document-controller-74108720/,SPECIFIC LINK,2026-03,"Manual technical document management; manual circulation of project documents; manual progress tracking","n8n: project document trigger → auto circulation workflow + approval tracking + progress status update + archive log",8,8,7,7.7,HIGH,"Bayt.com direct listing (Al-Khafji, Saudi Arabia). Engineering SMB — document circulation and approval workflows are highly automatable."
14,Operations/Document Role,Document Controller,Al Jomaih Energy and Water,Energy/Utilities SMB,Middle East,Saudi Arabia,https://www.bayt.com/en/saudi-arabia/jobs/document-controller-74160781/,SPECIFIC LINK,2026-04,"Manual document management for energy company; manual compliance tracking; manual reporting","n8n: compliance document trigger → auto tracking + stakeholder alerts + regulatory report generation + archive",8,8,7,7.7,HIGH,"Bayt.com direct listing (Saudi Arabia). Energy sector SMB — document compliance automation has strong ROI."
15,Legal Operations Role,Legal Administrator,Gleeson Recruitment Group (client law firm),Small Law Firm,Europe,UK,https://uk.linkedin.com/jobs/view/legal-administrator-at-gleeson-recruitment-group-3780115756,SPECIFIC LINK,2026-01,"Manual legal document management and filing; manual case file management; manual admin duties; manual document retrieval","n8n: case event trigger → document categorization + filing workflow + case file auto-creation + deadline calendar entry + team notification",8,8,7,7.7,HIGH,"LinkedIn specific URL (Birmingham UK). Recruitment firm placing legal admins — indicates multiple small UK law firm clients with document management pain."
16,Legal Operations Role,Legal Administration Assistant,MYTILINEOS S.A.,Energy/Construction Firm,Europe,UK,https://uk.linkedin.com/jobs/view/legal-administration-assistant-at-mytilineos-s-a-3493880181,SPECIFIC LINK,2025-12,"Manual transaction document management; manual signing/completion coordination; manual post-completion filing across multiple jurisdictions","n8n: transaction event → document routing + signing workflow + completion checklist + post-completion auto-filing + archive",8,7,7,7.3,MEDIUM,"LinkedIn specific URL (London UK). Large firm but legal ops role is document-only — no customer-facing. Post-completion filing is automatable."
17,Direct Automation Demand,HubSpot Lead Validation Automation (n8n),B2B Marketing/SaaS Company,SaaS/Marketing,Not specified,Not specified,https://n8ndevs.com/jobs/TEuL0ajEQZKCgFHrICWckA,VERIFIED ACTIVE,2026-04,"Manual processing of GA4 event data; manual lead email/phone validation; manual HubSpot sync; manual data cleaning","n8n: GA4 event webhook → email/phone validation API → HubSpot contact update + lead scoring trigger. $40-60/hr",10,8,10,9.3,HOT,"Direct n8n posting on n8ndevs.com. Operations/data handling only — no customer-facing. HubSpot + GA4 integration well within n8n capability."
18,Workflow Automation Role,Automation Systems Operator (n8n),Small Service Business (Tax/Accounting),Accounting/Professional Services,Australia/Pacific,Australia,https://www.upwork.com/freelance-jobs/apply/Automation-Systems-Operator-n8n-Business-Process-Client-Facing-Long-Term-Partner_~022038887339875660708/,SPECIFIC LINK,2026-03,"Manual admin workflows; manual client communication; manual document handling; 29-year-old firm with no automation in place","n8n: client onboarding form → document request automation + appointment scheduling + billing workflow + weekly ops report. $800 fixed + ongoing",10,9,9,9.3,HOT,"Upwork listing (March 31 2026). Australian accounting firm directly seeking n8n operator. Long-term contract-to-hire — strong revenue potential."
